Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Hobart Hurricanes,WG Jacks,9caf69a1,1,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2,26,True,False,True,Right-arm offbreak,Right-hand bat
Hobart Hurricanes,DJM Short,1a156c88,2,6,5,1,0,120.0,"[6, 9, 12, 14]",4.0,24,4,0,38,3,1,0,0,0,0,0,9.5,0,0,0,0,0,10,4,0,14,34,True,False,False,Left-arm wrist-spin,Left-hand bat
Hobart Hurricanes,BR McDermott,c41043e6,3,96,56,8,5,171.43,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,6,176,0,16,192,30,True,True,False,Right-arm medium,Right-hand bat
Hobart Hurricanes,DJ Malan,ad9c32a2,4,42,28,4,1,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,68,0,0,68,37,True,False,False,Legbreak,Left-hand bat
Hobart Hurricanes,PSP Handscomb,ada15e88,5,21,16,2,1,131.25,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,37,0,0,37,33,True,False,False,,Right-hand bat
Hobart Hurricanes,MJ Owen,f2c936d7,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,23,True,False,False,Right-arm medium,Right-hand bat
Hobart Hurricanes,TH David,f1f99156,6,7,2,0,1,350.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,13,0,0,13,29,True,False,False,Right-arm offbreak,Right-hand bat
Hobart Hurricanes,NT Ellis,9eb1455b,7,0,0,0,0,0.0,"[4, 15, 17, 19]",4.0,24,7,0,35,3,1,1,0,1,0,4,8.75,1,0,0,0,0,0,40,8,48,30,True,False,False,Right-arm fast-medium,Right-hand bat
Hobart Hurricanes,SM Boland,d167edd3,8,0,0,0,0,0.0,"[2, 8, 16, 18]",4.0,24,7,0,41,4,1,4,0,1,0,1,10.25,0,0,0,0,0,0,121,0,121,35,True,False,False,Right-arm fast-medium,Right-hand bat
Hobart Hurricanes,RP Meredith,64775749,9,0,0,0,0,0.0,"[1, 3, 11, 20]",4.0,24,7,0,26,2,0,0,0,0,0,0,6.5,0,0,0,0,0,0,9,0,9,28,True,False,False,Right-arm fast,Right-hand bat
Hobart Hurricanes,S Lamichhane,b410bd3d,10,0,0,0,0,0.0,"[5, 7, 10, 13]",4.0,24,5,0,28,2,0,0,0,0,0,3,7.0,0,0,0,0,0,0,7,0,7,24,True,False,False,Legbreak googly,Right-hand bat
Sydney Thunder,UT Khawaja,331ea488,1,27,22,4,0,122.73,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,47,0,0,47,38,True,False,False,Right-arm medium,Left-hand bat
Sydney Thunder,AD Hales,92aeac25,2,29,23,2,1,126.09,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,47,0,8,55,36,True,False,False,Right-arm medium,Right-hand bat
Sydney Thunder,O Davies,0ea54eca,3,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6,24,True,False,False,Right-arm offbreak,Right-hand bat
Sydney Thunder,CJ Ferguson,9b4935c8,4,23,24,1,0,95.83,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,27,0,0,27,40,True,False,False,Right-arm medium,Right-hand bat
Sydney Thunder,SW Billings,c16d4035,5,50,34,4,1,147.06,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,82,0,0,82,33,True,False,False,,Right-hand bat
Sydney Thunder,BCJ Cutting,2e11c706,6,15,10,3,0,150.0,"[5, 9, 14]",3.0,18,3,0,22,0,1,0,0,0,0,0,7.33,0,0,0,0,0,27,3,0,30,38,True,False,True,Right-arm fast-medium,Right-hand bat
Sydney Thunder,CJ Green,19b9f399,6,0,0,0,0,0.0,"[8, 16]",2.0,12,2,0,22,1,1,0,0,0,0,1,11.0,0,0,0,0,0,0,0,0,0,31,True,False,True,Right-arm offbreak,Right-hand bat
Sydney Thunder,DR Sams,caf69bf7,7,16,6,0,1,266.67,"[2, 10, 12]",3.0,18,7,0,30,2,2,0,0,0,0,2,10.0,0,0,0,0,0,22,5,0,27,32,True,False,True,Left-arm fast-medium,Right-hand bat
Sydney Thunder,N McAndrew,38c276e1,7,0,0,0,0,0.0,"[3, 7]",2.0,12,3,0,24,3,1,1,0,0,0,0,12.0,1,0,0,0,0,0,24,8,32,31,True,False,False,Right-arm medium-fast,Right-hand bat
Sydney Thunder,AF Milne,350bb1b1,8,0,0,0,0,0.0,"[1, 4, 11, 18]",4.0,24,9,0,36,6,0,1,0,1,0,2,9.0,0,0,0,0,0,0,42,0,42,32,True,False,False,Right-arm fast,Right-hand bat
Sydney Thunder,T Sangha,52c952d9,9,0,0,0,0,0.0,"[6, 13, 15, 17]",4.0,24,7,0,45,3,3,2,0,0,0,2,11.25,0,0,0,0,0,0,53,0,53,23,True,False,False,Legbreak,Right-hand bat
